item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,starch,dha,omega3
0000005656,Vital Fresh Mus owocowy 100% Jabłko Banan Truskawka 100 g,dla-dzieci,Y,w porcji 100 g,70 kcal,0.1 g,0 g,15.5 g,13.3 g,1.7 g,0.6 g,0.02 g,,,,,
0000007167,Kubuś Mus 100% banan jabłko 100 g,dla-dzieci,Y,w porcji 100 g,82 kcal,0.5 g,0.1 g,18 g,16 g,1.3 g,0.8 g,0.01 g,,,,,
0000004031,Bebilon Advance Pronutra 2 Mleko następne po 6. miesiącu (2x500 g) 1000 g ,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.2 g,1 g,8.2 g,8.1 g,0.6 g,1.4 g,0 g,1.6 g,0.5 g,,,
0000003088,Nestlé Sinlac Bezglutenowy produkt zbożowy bez laktozy soi dla niemowląt po 4. miesiącu 500 g,dla-dzieci,Y,w porcji 100 g,424 kcal,10 g,0.8 g,69 g,18 g,2.5 g,13.3 g,0.34 g,,,,,
0000002557,HiPP Barszczyk czerwony z delikatną wołowiną BIO 190 g,dla-dzieci,Y,w porcji 100 g,65 kcal,2.8 g,0.5 g,6.7 g,2 g,1.5 g,2.5 g,0.05 g,1.7 g,0.6 g,,,
0000007865,BoboVita Peppa Pig Mus morele z jabłkiem i gruszką po 6 miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,59 kcal,0.1 g,0 g,13 g,13 g,2 g,0.4 g,0 g,,,,,
0000017028,Bobo Frut Mus jabłko brzoskwinia 150 g,dla-dzieci,Y,w porcji 100 g,50 kcal,0.1 g,0 g,11.3 g,10.9 g,1.5 g,0.3 g,0 g,,,,,
0000007864,BoboVita Peppa Pig Mus jabłko z mango i pomarańczą po 6 miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,49 kcal,0.1 g,0 g,11 g,9.8 g,1.8 g,0.4 g,0.03 g,,,,,
0000007170,Kubuś Mus 100% truskawka jabłko banan marchew 100 g,dla-dzieci,Y,w porcji 100 g,58 kcal,0.5 g,0.1 g,12 g,12 g,1.4 g,0.7 g,0.01 g,,,,,
0000017170,Gerber Jabłko gruszka malina jagoda po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,51 kcal,0.1 g,0 g,11 g,10.1 g,2 g,0.4 g,0 g,,,,,
0000005147,BoboVita Mus jabłka i truskawki z bananem po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,58 kcal,0.2 g,0 g,12.7 g,10.3 g,1.7 g,0.5 g,,,,,,
0000011844,BoboVita Białe warzywa z indykiem w sosie po 15 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,64 kcal,2.2 g,0.3 g,7 g,1 g,2 g,3 g,0.04 g,,,,,
0000005139,BoboVita Banan jabłko truskawki i kiwi po 6 miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,60 kcal,0.2 g,0 g,13 g,11.3 g,1.7 g,0.7 g,0.01 g,,,,,
0000001594,"Bobo Frut Nektar Jabłko, mango, banan po 6 miesiącu 300 ml",dla-dzieci,Y,w porcji 100 ml,36 kcal,0.1 g,0 g,8 g,7.5 g,0.9 g,0.3 g,0 g,,,,,
0000001593,"Bobo Frut Nektar Jabłko, truskawka po 12 miesiącu 300 ml",dla-dzieci,Y,w porcji 100 ml,27 kcal,0.1 g,0 g,6 g,5.5 g,0.8 g,0.2 g,0 g,,,,,
0000014342,HiPP Comfort Żywność specjalnego przeznaczenia medycznego dla niemowląt od urodzenia 600 g,dla-dzieci,Y,w porcji 100 g,511 kcal,27.8 g,12.4 g,54.3 g,23.1 g,2.4 g,9.8 g,0.4 g,11 g,4.4 g,11.7 g,103 mg,
0000002146,BoboVita warzywa z delikatną wołowiną po 6 miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,271 kcal,1.8 g,0.6 g,8.3 g,1.7 g,,3.1 g,0.05 g,,,,,
0000013684,Bebilon Comfort 1 Żywność specjalnego przeznaczenia medycznego dla niemowląt od urodzenia 400 g,dla-dzieci,Y,w porcji 100 g,482 kcal,25 g,11 g,51 g,24 g,4.1 g,11 g,,10 g,4.2 g,,,
0000002145,BoboVita warzywa z delikatną rybą po 8 miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,289 kcal,1.8 g,0.4 g,9.6 g,3.2 g,,3 g,0.1 g,,,,,
0000002494,"HiPP BIO od pokoleń, Jabłka i banany z biszkoptami, po 4. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,74 kcal,0.7 g,0.4 g,15.1 g,10.9 g,1.5 g,1 g,0.05 g,,,,,
0000008407,HiPP BIO Musli Przyjaciel Batonik jabłka-wanilia z maślanymi ciasteczkami po 1. roku 20 g,dla-dzieci,Y,w porcji 100 g,384 kcal,10 g,1.7 g,64.8 g,36.1 g,6 g,5.7 g,0.05 g,,,,,
0000000382,BoboVita krupniczek z cielęciną po 8 miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,54 kcal,1.7 g,0.2 g,6.4 g,1.2 g,1.5 g,2.6 g,0.02 g,,,,,
0000013686,Bebilon 1 Advance Pronutra Mleko początkowe od urodzenia 200 ml,dla-dzieci,N,,,,,,,,,,,,,,
0000002509,BoboVita Warzywa w potrawce z cielęciną po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,66 kcal,2.3 g,0.3 g,8.1 g,2 g,1.5 g,2.5 g,0.08 g,,,,,
0000002200,Gerber Risotto z indykiem i warzywami dla dzieci po 12 miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,58 kcal,2 g,0.3 g,7.2 g,2.4 g,1.2 g,2.2 g,0.25 g,,,,,
0000007171,Kubuś Mus 100% jabłko arbuz aronia 100 g,dla-dzieci,Y,w porcji 100 g,54 kcal,0.5 g,0.1 g,11 g,11 g,1.8 g,0.5 g,0.01 g,,,,,
0000002644,Gerber Zupka kalafiorowa z królikiem po 8 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,50 kcal,1.9 g,0.1 g,5.4 g,0.9 g,1.2 g,2.2 g,0.05 g,,,,,
0000017169,Gerber Deserek jabłko mango po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,53 kcal,0.1 g,0 g,12 g,11.6 g,1.4 g,0.2 g,0 g,,,,,
0000002642,Gerber Zupka Krupniczek drobiowy z warzywami po 9 miesiącu 190 g,dla-dzieci,Y,w porcji 100 g,50 kcal,1.3 g,0.4 g,6.6 g,0.6 g,1.5 g,2.3 g,0.05 g,,,,,
0000007332,HiPP BIO Mus owocowo-warzywny po 5. miesiącu jabłka-gruszki-dynia 100 g,dla-dzieci,Y,w porcji 100 g,53 kcal,0.3 g,0 g,11 g,10 g,2.1 g,0.6 g,0.05 g,,,,,
0000003635,Bebilon Advance Pronutra 3 Junior Mleko dla dzieci po 1. roku życia (2x500 g) 1000 g ,dla-dzieci,Y,w porcji 100 ml,67 kcal,2.8 g,0.77 g,8.8 g,6.6 g,0.6 g,1.3 g,0.07 g,1.3 g,0.7 g,,,
0000017171,Gerber Deserek jabłko jagoda banan po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,50 kcal,0.1 g,0 g,11.4 g,10.6 g,1.5 g,0.2 g,0 g,,,,,
0000005654,Vital Fresh Mus owocowy 100% Jabłko Banan Morela 100 g,dla-dzieci,Y,w porcji 100 g,65 kcal,0.1 g,0 g,14.9 g,13.2 g,1.4 g,0.5 g,0.02 g,,,,,
0000007166,Kubuś Mus 100% jabłko banan 100 g,dla-dzieci,Y,w porcji 100 g,53 kcal,0.5 g,0.1 g,11 g,10 g,1.5 g,0.5 g,0.01 g,,,,,
0000007339,HiPP 1 BIO COMBIOTIK Mleko początkowe  550g,dla-dzieci,Y,w porcji 100 ml,66 kcal,3.6 g,1.5 g,7 g,7 g,0.3 g,1.28 g,0 g,1.6 g,0.5 g,,,
