item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch,omega3,kJ,ergokalcyferol
0000015933,Nasza Spiżarnia Pomidory krojone 400 g,artykuly-spozywcze,Y,w porcji 100 g,19 kcal,0 g,0 g,3.2 g,3.1 g,1.1 g,1.1 g,0.4 g,,,,,,,
0000004986,Diamant cukier biały 1 kg,artykuly-spozywcze,Y,w porcji 100 g,400 kcal,0 g,0 g,100 g,100 g,,0 g,0 g,,,,,,,
0000007614,Dr. Oetker Cukier Wanilinowy 16 g,artykuly-spozywcze,Y,w porcji 100 g,398 kcal,0 g,0 g,100 g,100 g,,0 g,0 g,,,,,,,
0000000829,EL Toro Rojo Oliwki czarne drylowane 340 g,artykuly-spozywcze,Y,w porcji 100 g,125 kcal,13 g,2.2 g,0 g,0 g,3 g,0.5 g,1.8 g,,,,,,,
0000001264,Culineo Koncentrat pomidorowy 30% 190 g,artykuly-spozywcze,Y,w porcji 100 g,116 kcal,0 g,0 g,21 g,15 g,4.4 g,3.9 g,0.05 g,,,,,,,
0000004085,Kamis Czosnek granulowany 20 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000000297,WINIARY Majonez Dekoracyjny 250 ml,artykuly-spozywcze,Y,w porcji 100 ml,704 kcal,76.3 g,5.3 g,2.9 g,2.3 g,0 g,1.5 g,0.6 g,,,,,,,
0000001817,Pudliszki Ketchup łagodny 480 g,artykuly-spozywcze,Y,w porcji 100 g,116 kcal,0 g,0 g,27 g,20 g,1 g,1.6 g,2.6 g,,,,,,,
0000006427,"Kinder Country czekolada z nadzieniem 23,5 g",artykuly-spozywcze,Y,w porcji 100 g,561 kcal,33.8 g,21.9 g,54.9 g,49.1 g,,8.6 g,0.28 g,,,,,,,
0000004088,Kamis Papryka słodka mielona 16 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006937,Kamis Oregano 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000004090,Kamis Zioła prowansalskie 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000004017,Plony Natury Ryż jaśminowy długoziarnisty 400 g,artykuly-spozywcze,Y,w porcji 100 g,345 kcal,0.5 g,0.2 g,78 g,0.2 g,0.5 g,7.4 g,0 g,,,,,,,
0000004087,Kamis Pieprz Czarny Ziarnisty 16 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000004092,Kamis Liście Laurowe 5 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000008054,GustoBello Pomidory krojone z cebulą i czosnkiem 400 g,artykuly-spozywcze,Y,w porcji 100 g,30 kcal,0.3 g,0.1 g,5.2 g,4.9 g,1.2 g,1.1 g,0.35 g,,,,,,,
0000006663,Kamis Bazylia 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000004093,Kamis Ziele angielskie 15 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000017488,Kotlin Ketchup łagodny 450 g,artykuly-spozywcze,Y,w porcji 100 g,102 kcal,0.5 g,0.1 g,23 g,23 g,,1.4 g,2 g,,,,,,,
0000001676,Tic Tac Mint 18 g,artykuly-spozywcze,Y,w porcji 100 g,397 kcal,0.5 g,0.5 g,97.5 g,94.5 g,,0.1 g,0.03 g,,,,,,,
0000009931,Kamis Majeranek 7 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006929,Kamis Natka pietruszki 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000016612,Kamis Papryka ostra mielona 16 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000008018,Kamis Pieprz czarny ziarnisty 42 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006565,Bonduelle Kukurydza złocista 2x 170 g,artykuly-spozywcze,Y,w porcji 100 g,73 kcal,1.4 g,0.2 g,11 g,5.1 g,3 g,2.7 g,0.28 g,,,,,,,
0000016329,Violife Plastry o smaku Gouda 120 g,artykuly-spozywcze,Y,w porcji 100 g,285 kcal,23 g,21 g,20 g,0 g,,0 g,2.3 g,,,,,,,
0000004091,Kamis Mieszanka przyprawowa przyprawa do kurczaka złocista 30 g,artykuly-spozywcze,Y,w porcji 100 g,160 kcal,6.5 g,0.8 g,13 g,2.6 g,,7 g,54.3 g,,,,,,,
0000015620,Bakello Proszek do pieczenia na 1kg mąki 30 g,artykuly-spozywcze,Y,w porcji 100 g,110 kcal,0.6 g,0.1 g,22 g,0.2 g,0.9 g,3.7 g,41 g,,,,,,,
0000009226,Kamis Papryka wędzona 20 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000008643,Knorr Rosół z kury z pietruszką i lubczykiem (12 x 10 g) 120 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000007949,El Toro Rojo Oliwki zielone drylowane 160 g,artykuly-spozywcze,Y,w porcji 100 g,82 kcal,7.6 g,2 g,0 g,0 g,3.7 g,1.3 g,4.9 g,,,,,,,
0000015621,Bakello Soda oczyszczona 100 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000018652,Dawtona Passata Intenso zioła polskie 500 g,artykuly-spozywcze,Y,w porcji 100 g,58 kcal,0.5 g,0.1 g,9.4 g,6.7 g,2.8 g,2.1 g,0.34 g,,,,,,,
0000005041,Asia Flavours Mleczko kokosowe 400 ml,artykuly-spozywcze,Y,w porcji 100 ml,169 kcal,18 g,15 g,1.5 g,1.5 g,,1.2 g,0.07 g,,,,,,,
0000011977,Go Vege Hummus paprykowy 160 g,artykuly-spozywcze,Y,w porcji 100 g,242 kcal,17 g,1.8 g,12 g,2.1 g,8.1 g,6.1 g,1.2 g,,,,,,,
0000006947,Kamis Mieszanka przyprawowa pieprz cytrynowy 20 g,artykuly-spozywcze,Y,w porcji 100 g,197 kcal,1 g,0.4 g,37 g,14 g,,6.2 g,30.1 g,,,,,,,
0000007375,Nasza Spiżarnia Fasola czerwona konserwowa 400 g,artykuly-spozywcze,Y,w porcji 100 g,101 kcal,0.5 g,0.1 g,14 g,2 g,7 g,7.3 g,0.8 g,,,,,,,
0000000828,EL Toro Rojo Oliwki zielone drylowane 340 g,artykuly-spozywcze,Y,w porcji 100 g,144 kcal,15 g,2 g,0 g,0 g,2.8 g,0.9 g,3.7 g,,,,,,,
0000015466,Marinero Tuńczyk kawałki w oleju roślinnym 170 g,artykuly-spozywcze,Y,w porcji 100 g,313 kcal,27 g,4.3 g,0.5 g,0 g,0 g,17 g,0.72 g,,,,,,,
0000012511,Pudliszki Koncentrat pomidorowy 190 g ,artykuly-spozywcze,Y,w porcji 100 g,99 kcal,0.5 g,0.2 g,17 g,17 g,3.7 g,5.3 g,0.09 g,,,,,,,
0000015391,Pastani Makaron Conchiglie Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,354 kcal,1.5 g,0.4 g,71 g,2.9 g,3 g,12 g,0.01 g,,,,,,,
0000000115,Nasza Spiżarnia Groszek konserwowy 400 g,artykuly-spozywcze,Y,w porcji 100 g,80 kcal,0.8 g,0.2 g,8.7 g,1.6 g,8 g,5.5 g,0.69 g,,,,,,,
0000006098,Mutti Polpa Pomidory drobno krojone bez skórek 400 g,artykuly-spozywcze,Y,w porcji 100 g,26 kcal,0.2 g,0.1 g,3.9 g,2.8 g,,1.2 g,0.3 g,,,,,,,
0000000476,Pastani Makaron Spaghetti Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,375 kcal,2.1 g,0.8 g,74 g,2.8 g,4 g,13 g,0 g,,,,,,,
0000006945,Kamis Koperek 6 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000000072,Plony Natury Mąka Tortowa pszenna T 450 1 kg,artykuly-spozywcze,Y,w porcji 100 g,345 kcal,1.2 g,0.2 g,71 g,0.5 g,3 g,11 g,0 g,,,,,,,
0000004208,Podlaski Pasztet drobiowy 195 g,artykuly-spozywcze,Y,w porcji 100 g,181 kcal,15 g,3 g,4 g,0.8 g,,7 g,1.4 g,,,,,,,
0000003063,Winiary Królewski Rosół wołowy (15 sztuk) 135 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006243,Kamis Mieszanka przyprawowa przyprawa do dań z ziemniaków 25 g,artykuly-spozywcze,Y,w porcji 100 g,185 kcal,3.7 g,0.6 g,23 g,4.1 g,,7.4 g,41.2 g,,,,,,,
0000007435,Knoppers Baton orzechowy (3 x 40 g) 120 g,artykuly-spozywcze,Y,w porcji 100 g,531 kcal,31.6 g,14.1 g,52.2 g,38.3 g,,8.4 g,0.39 g,,,,,,,
0000000005,Kujawski Olej rzepakowy z pierwszego tłoczenia 1l,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,7.5 g,0 g,0 g,,0 g,0 g,65.5 g,26.5 g,,,,,
0000015428,Dobrusia Makaron krajanka 200 g,artykuly-spozywcze,Y,w porcji 100 g,352 kcal,1.1 g,0.5 g,73 g,3.5 g,2.8 g,11 g,0.01 g,,,,,,,
0000007584,Lubella Makaron nitki cięte 400 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,1.4 g,0.4 g,70 g,4.2 g,,13 g,0.03 g,,,,,,,
0000006675,Kamis Mieszanka przyprawowa curry 20 g,artykuly-spozywcze,Y,w porcji 100 g,276 kcal,8.5 g,1.5 g,28 g,1.8 g,,12 g,19 g,,,,,,,
0000006402,Lubella Choco kulki Zbożowe kulki o smaku czekoladowym 500 g,artykuly-spozywcze,Y,w porcji 100 g,377 kcal,4.5 g,1.2 g,71 g,25 g,8.4 g,9 g,0.28 g,,,,,,,
0000004086,Kamis Pieprz Czarny Mielony 16 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006942,Kamis Mieszanka przyprawowa przyprawa do mięsa mielonego 20 g,artykuly-spozywcze,Y,w porcji 100 g,249 kcal,5.3 g,0.6 g,33 g,9.3 g,,10 g,27.3 g,,,,,,,
0000015619,Bakello Cukier wanilinowy z dodatkiem ekstraktu z wanilii 16 g,artykuly-spozywcze,Y,w porcji 100 g,398 kcal,0 g,0 g,100 g,99 g,0 g,0 g,0 g,,,,,,,
0000006936,Kamis Mieszanka przyprawowa przyprawa do gyrosa 30 g,artykuly-spozywcze,Y,w porcji 100 g,232 kcal,8.2 g,1.1 g,23 g,8.3 g,,9.1 g,35.4 g,,,,,,,
0000002485,Lorenz Monster Munch Original 75 g,artykuly-spozywcze,Y,w porcji 100 g,556 kcal,34 g,2.8 g,60 g,5.1 g,1.4 g,1.8 g,2.8 g,,,,,,,
0000003059,Winiary Królewski Bulion warzywny (15 sztuk) 135 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000005872,Krakus Ogórki konserwowe 920 g,artykuly-spozywcze,Y,w porcji 100 g,33 kcal,0.5 g,0 g,6.6 g,5.8 g,,0.5 g,1 g,,,,,,,
0000007766,WINIARY Barszcz biały 66 g,artykuly-spozywcze,Y,w porcji 100 ml,22 kcal,0.2 g,0.1 g,3.8 g,1.2 g,0.1 g,1.1 g,0.66 g,,,,,,,
0000001724,Kamis Musztarda chrzanowa 185 g,artykuly-spozywcze,Y,w porcji 100 g,95 kcal,4 g,0.2 g,10 g,9 g,,3 g,2.56 g,,,,,,,
0000018651,Dawtona Passata Intenso zioła włoskie 500 g,artykuly-spozywcze,Y,w porcji 100 g,58 kcal,0.5 g,0.1 g,9.5 g,6.7 g,2.8 g,2.1 g,0.54 g,,,,,,,
0000009930,Kamis Majeranek 8 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000016365,Tic Tac Drażetki o smaku truskawki 54 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,0.6 g,0.6 g,94.8 g,91.3 g,,0 g,0.03 g,,,,,,,
0000006948,Kamis Mieszanka przyprawowa pieprz ziołowy 15 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006571,Kamis Musztarda sarepska 185 g,artykuly-spozywcze,Y,w porcji 100 g,101 kcal,5.1 g,0.3 g,8.3 g,6.9 g,,3.7 g,2.52 g,,,,,,,
0000015492,Winiary Sos pieczeniowy ciemny 30 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000006932,Kamis Pieprz kolorowy ziarnisty 12 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000001359,GustoBello Tortellini al Prosciutto z dodatkiem szynki prosciutto crudo 250 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,10 g,4.8 g,61 g,1.5 g,2.1 g,14 g,2.7 g,,,,,,,
0000008781,Lajkonik Precelki chrupkie 180 g,artykuly-spozywcze,Y,w porcji 100 g,394 kcal,7.3 g,0.5 g,69 g,2.6 g,4.1 g,11 g,3.5 g,,,,,,,
0000010573,Paluszki Junior 200g,artykuly-spozywcze,Y,w porcji 100 g,406 kcal,5.9 g,0.6 g,75 g,5.7 g,2.6 g,12 g,1.9 g,,,,,,,
0000014899,Polski Olej rzepakowy 1l,artykuly-spozywcze,Y,w porcji 100 ml,818 kcal,91 g,6.4 g,0 g,0 g,,0 g,0 g,59.1 g,25.5 g,,,,,
0000001062,Airwaves Cool Cassis 25 drażetek 35 g,artykuly-spozywcze,Y,w porcji 100 g,151 kcal,0 g,0 g,62.8 g,0 g,,0 g,0 g,,,62.8 g,,,,
0000001135,Rikka Musztarda stołowa 210 g,artykuly-spozywcze,Y,w porcji 100 g,107 kcal,4.9 g,0.7 g,6.9 g,6.8 g,4.2 g,5.1 g,2.3 g,,,,,,,
0000009763,Pudliszki Ketchup pikantny 480 g,artykuly-spozywcze,Y,w porcji 100 g,109 kcal,0 g,0 g,25 g,22 g,1.1 g,1.7 g,2.4 g,,,,,,,
0000000477,Pastani Makaron Durum Penne 500 g,artykuly-spozywcze,Y,w porcji 100 g,350 kcal,1.6 g,0.3 g,69 g,4.1 g,,13 g,0 g,,,,,,,
0000002465,Knorr Nudle Zupa danie pieczony kurczak 61 g,artykuly-spozywcze,N,,,,,,,,,,,,,,,,
0000017765,Lubella Makaron cyferki 350 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,1.4 g,0.4 g,70 g,4.2 g,3 g,13 g,0.03 g,,,,,,,
0000005694,"Teekanne Herbatka owocowa Świat Owoców Malina z cytryną (20 x 2,25 g) 45 g",artykuly-spozywcze,N,,,,,,,,,,,,,,,,
