item_id,item_name,item_link,item_image,item_type
0000001804,Dania Express Lasagne bolognese 1 kg,https://zakupy.biedronka.pl/dania-express-dania-express-lasagne-bolognese-1-kg-0000001804.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw57954879/images/hi-res/4184EA11F766C44C11807C766A05DE4C.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000000715,Kopytka Nasze Smaki 500 g,https://zakupy.biedronka.pl/henglein-kopytka-nasze-smaki-500-g-0000000715.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwbcd8fdaa/images/hi-res/30F34ACF958D94DFE42AF14B3BFB4957.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000004268,Vital Fresh Surówka z buraczków 300 g,https://zakupy.biedronka.pl/vital-fresh-vital-fresh-surowka-z-buraczkow-300-g-0000004268.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw9efc8ea3/images/hi-res/A4A9FBBE5734F6668A73F727A1EF2C76.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000006555,Vital Fresh Surówka Colesław z białej kapusty 450g,https://zakupy.biedronka.pl/vital-fresh-vital-fresh-surowka-coleslaw-z-bialej-kapusty-450g-0000006555.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw0e98b4af/images/hi-res/498AED0D3B3997850FFE4F09C9ED7FF1.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000004000,Nasze Smaki Kluski śląskie 400 g,https://zakupy.biedronka.pl/nasze-smaki-nasze-smaki-kluski-slaskie-400-g-0000004000.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw12f20c89/images/hi-res/CBAA00768493A8AAC426D230D575CC93.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000003835,Nasze Smaki Pierogi ruskie 400 g,https://zakupy.biedronka.pl/nasze-smaki-nasze-smaki-pierogi-ruskie-400-g-0000003835.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw1e86a19b/images/hi-res/3C89741865863E0E4CB7C7B327C897A4.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000012379,Nasze Smaki Naleśniki z serem i rodzynkami 400 g,https://zakupy.biedronka.pl/nasze-smaki-nasze-smaki-nalesniki-z-serem-i-rodzynkami-400-g-0000012379.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw5dbf0ecd/images/hi-res/87E8C6A8EE5D11A2671CCEBCB33086A0.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000006878,Dania Express Lasagne bolognese 450g,https://zakupy.biedronka.pl/dania-express-dania-express-lasagne-bolognese-450g-0000006878.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwff14ebb4/images/hi-res/27CCCA4550806CA2397B0C48B4EBB14C.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000003840,Nasze Smaki Pierogi z serem 400g,https://zakupy.biedronka.pl/nasze-smaki-nasze-smaki-pierogi-z-serem-400g-0000003840.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw81d2d8f2/images/hi-res/040C91AA57E69BEF5AFF539D1D66AF9A.jpg?sw=270&sh=270&sm=fit,dania-gotowe
0000011391,Lisner O Mamo! Sałatka warzywna z jajkiem 500 g,https://zakupy.biedronka.pl/lisner-lisner-o-mamo%21-salatka-warzywna-z-jajkiem-500-g-0000011391.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwcd090f86/images/hi-res/F2D5ADA6E9D9240DC16E850E9FBE6B3E.jpg?sw=270&sh=270&sm=fit,dania-gotowe
