item_id,item_name,item_link,item_image,item_type
0000015933,Nasza Spiżarnia Pomidory krojone 400 g,https://zakupy.biedronka.pl/nasza-spizarnia-nasza-spizarnia-pomidory-krojone-400-g-0000015933.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw3176628c/images/hi-res/A8A797A0B683FE7A98156D8FA833E9B0.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000004986,Diamant cukier biały 1 kg,https://zakupy.biedronka.pl/diamant-diamant-cukier-bialy-1-kg-0000004986.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwae6aa988/images/hi-res/0592A7111AF5F65EC811A38ED1EA68D6.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000007614,Dr. Oetker Cukier Wanilinowy 16 g,https://zakupy.biedronka.pl/dr.-oetker-dr.-oetker-cukier-wanilinowy-16-g-0000007614.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw56d186bd/images/hi-res/B9DBCEEC84B3B2B27D429E7F2100C409.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000000829,EL Toro Rojo Oliwki czarne drylowane 340 g,https://zakupy.biedronka.pl/el-toro-rojo-el-toro-rojo-oliwki-czarne-drylowane-340-g-0000000829.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwa10e1544/images/hi-res/C2E54453C87A034BCF1F54E6F5F27B8E.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000001264,Culineo Koncentrat pomidorowy 30% 190 g,https://zakupy.biedronka.pl/culineo-culineo-koncentrat-pomidorowy-30%25-190-g-0000001264.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwe7fab335/images/hi-res/791B68D679C0F4702C43DB3CCDFF4116.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000004085,Kamis Czosnek granulowany 20 g,https://zakupy.biedronka.pl/kamis-kamis-czosnek-granulowany-20-g-0000004085.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwac0ca89f/images/hi-res/D26A4257E51630B9F00AE7E2AC597F5B.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000000297,WINIARY Majonez Dekoracyjny 250 ml,https://zakupy.biedronka.pl/winiary-winiary-majonez-dekoracyjny-250-ml-0000000297.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw12236370/images/hi-res/3657D3AD6CC6769E402123B035DB5DBB.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000001817,Pudliszki Ketchup łagodny 480 g,https://zakupy.biedronka.pl/pudliszki-pudliszki-ketchup-lagodny-480-g-0000001817.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6b8e0acf/images/hi-res/E409E8C4A9B79FAABC4848ABE288EA56.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000006427,"Kinder Country czekolada z nadzieniem 23,5 g",https://zakupy.biedronka.pl/kinder-country-kinder-country-czekolada-z-nadzieniem-235-g-0000006427.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dwfd6128c6/images/hi-res/71675994AAD39805285AA6ADB5A06ECC.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
0000004088,Kamis Papryka słodka mielona 16 g,https://zakupy.biedronka.pl/kamis-kamis-papryka-slodka-mielona-16-g-0000004088.html,https://zakupy.biedronka.pl/dw/image/v2/BKFJ_PRD/on/demandware.static/-/Sites-PL_Master_Catalog/default/dw6f1047d5/images/hi-res/038A049DAC0791621983DF6525FC5B18.jpg?sw=270&sh=270&sm=fit,artykuly-spozywcze
